state,station,MRI (yrs),R-squared,min wind threshold,coeff a,coeff b,coeff c,coeff d,min wind threshold,coeff a,coeff b,coeff c,coeff d
FL, KGIF, 500, 0.998,   0,  3.6110e-08, -2.3645e-05, -1.0280e-03,  2.7789e-01,    ,            ,            ,            ,            
FL, KGNV,   1, 0.992,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.2322e-01,   1, -5.0990e-08, -6.4333e-05,  9.5705e-05,  1.2319e-01
FL, KGNV,   5, 0.991,   0, -2.9613e-08, -3.9151e-05, -7.5309e-04,  1.6663e-01,    ,            ,            ,            ,            
FL, KGNV,  10, 0.992,   0, -3.4448e-08, -3.1811e-05, -1.0288e-03,  1.8503e-01,    ,            ,            ,            ,            
FL, KGNV,  25, 0.992,   0, -3.6857e-08, -2.4593e-05, -1.3293e-03,  2.0911e-01,    ,            ,            ,            ,            
FL, KGNV,  50, 0.993,   0, -3.6069e-08, -2.0503e-05, -1.5199e-03,  2.2718e-01,    ,            ,            ,            ,            
FL, KGNV, 100, 0.993,   0, -3.3874e-08, -1.7263e-05, -1.6868e-03,  2.4516e-01,    ,            ,            ,            ,            
FL, KGNV, 500, 0.994,   0, -2.6445e-08, -1.1938e-05, -2.0099e-03,  2.8662e-01,    ,            ,            ,            ,            
FL, KHWO,   1, 0.993,   0, -1.5335e-06,  3.0971e-05, -1.0152e-03,  1.2830e-01,    ,            ,            ,            ,            
FL, KHWO,   5, 0.995,   0, -9.8619e-07,  2.8092e-05, -1.4016e-03,  1.6969e-01,    ,            ,            ,            ,            
FL, KHWO,  10, 0.995,   0, -8.8373e-07,  3.0284e-05, -1.5691e-03,  1.8736e-01,    ,            ,            ,            ,            
FL, KHWO,  25, 0.996,   0, -7.9477e-07,  3.3982e-05, -1.7769e-03,  2.1059e-01,    ,            ,            ,            ,            
FL, KHWO,  50, 0.996,   0, -7.4766e-07,  3.6966e-05, -1.9225e-03,  2.2809e-01,    ,            ,            ,            ,            
FL, KHWO, 100, 0.996,   0, -7.1096e-07,  3.9926e-05, -2.0581e-03,  2.4552e-01,    ,            ,            ,            ,            
FL, KHWO, 500, 0.996,   0, -6.4728e-07,  4.6200e-05, -2.3344e-03,  2.8577e-01,    ,            ,            ,            ,            
FL, KJAX,   1, 0.993,   0, -5.8425e-07, -2.5491e-05, -5.0156e-04,  1.3165e-01,    ,            ,            ,            ,            
FL, KJAX,   5, 0.995,   0, -1.7063e-07, -2.6586e-05, -9.1542e-04,  1.7626e-01,    ,            ,            ,            ,            
FL, KJAX,  10, 0.996,   0, -8.8186e-08, -2.6679e-05, -1.0334e-03,  1.9511e-01,    ,            ,            ,            ,            
FL, KJAX,  25, 0.996,   0, -2.3071e-08, -2.6126e-05, -1.1719e-03,  2.1987e-01,    ,            ,            ,            ,            
FL, KJAX,  50, 0.996,   0,  6.1883e-09, -2.5381e-05, -1.2683e-03,  2.3854e-01,    ,            ,            ,            ,            
FL, KJAX, 100, 0.997,   0,  2.5040e-08, -2.4490e-05, -1.3592e-03,  2.5715e-01,    ,            ,            ,            ,            
FL, KJAX, 500, 0.997,   0,  4.6599e-08, -2.2242e-05, -1.5533e-03,  3.0025e-01,    ,            ,            ,            ,            
FL, KLEE,   1, 0.999,   0, -1.0668e-06, -2.7689e-06, -3.3118e-04,  1.2489e-01,    ,            ,            ,            ,            
FL, KLEE,   5, 0.999,   0, -3.8608e-07, -2.2227e-05, -2.5907e-04,  1.6653e-01,    ,            ,            ,            ,            
FL, KLEE,  10, 0.998,   0, -2.6554e-07, -2.4720e-05, -2.7305e-04,  1.8442e-01,    ,            ,            ,            ,            
FL, KLEE,  25, 0.998,   0, -1.6802e-07, -2.6007e-05, -3.0346e-04,  2.0804e-01,    ,            ,            ,            ,            
FL, KLEE,  50, 0.998,   0, -1.2078e-07, -2.6213e-05, -3.2843e-04,  2.2588e-01,    ,            ,            ,            ,            
FL, KLEE, 100, 0.998,   0, -8.7003e-08, -2.6104e-05, -3.5196e-04,  2.4368e-01,    ,            ,            ,            ,            
FL, KLEE, 500, 0.998,   0, -3.7584e-08, -2.5441e-05, -3.9506e-04,  2.8494e-01,    ,            ,            ,            ,            
FL, KMCO,   1, 0.995,   0, -2.0167e-07, -3.4991e-05, -7.3486e-04,  1.3784e-01,    ,            ,            ,            ,            
FL, KMCO,   5, 0.995,   0, -1.6866e-07, -1.2777e-05, -1.6980e-03,  1.8589e-01,    ,            ,            ,            ,            
FL, KMCO,  10, 0.996,   0, -1.5741e-07, -7.0809e-06, -2.0028e-03,  2.0613e-01,    ,            ,            ,            ,            
FL, KMCO,  25, 0.996,   0, -1.4347e-07, -1.5449e-06, -2.3429e-03,  2.3260e-01,    ,            ,            ,            ,            
FL, KMCO,  50, 0.997,   0, -1.3396e-07,  1.6337e-06, -2.5664e-03,  2.5246e-01,    ,            ,            ,            ,            
FL, KMCO, 100, 0.997,   0, -1.2540e-07,  4.2107e-06, -2.7688e-03,  2.7221e-01,    ,            ,            ,            ,            
FL, KMCO, 500, 0.997,   0, -1.0877e-07,  8.6466e-06, -3.1817e-03,  3.1777e-01,    ,            ,            ,            ,            
FL, KMIA,   1, 0.990,   0, -4.1420e-07, -4.5326e-05, -1.0029e-03,  1.5135e-01,    ,            ,            ,            ,            
FL, KMIA,   5, 0.989,   0, -2.6721e-07, -1.7540e-05, -2.2021e-03,  2.0278e-01,    ,            ,            ,            ,            
FL, KMIA,  10, 0.990,   0, -2.5749e-07, -8.1809e-06, -2.6322e-03,  2.2462e-01,    ,            ,            ,            ,            
FL, KMIA,  25, 0.990,   0, -2.4957e-07,  1.6314e-06, -3.1321e-03,  2.5324e-01,    ,            ,            ,            ,            
FL, KMIA,  50, 0.991,   0, -2.4816e-07,  7.9076e-06, -3.4769e-03,  2.7476e-01,    ,            ,            ,            ,            
FL, KMIA, 100, 0.991,   0, -2.4532e-07,  1.3127e-05, -3.7937e-03,  2.9617e-01,    ,            ,            ,            ,            
FL, KMIA, 500, 0.992,   0, -2.3235e-07,  2.2058e-05, -4.4439e-03,  3.4555e-01,    ,            ,            ,            ,            
FL, KMLB,   1, 0.997,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.2100e-01,   3, -6.9709e-07, -2.3217e-05,  1.3540e-04,  1.2082e-01
FL, KMLB,   5, 0.997,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.6093e-01,   3, -1.0097e-07, -4.2903e-05,  2.5090e-04,  1.6057e-01
FL, KMLB,  10, 0.997,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.7803e-01,   3, -2.4362e-09, -4.5502e-05,  2.4977e-04,  1.7769e-01
FL, KMLB,  25, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.0060e-01,   2,  6.9559e-08, -4.6660e-05,  2.2746e-04,  2.0032e-01
FL, KMLB,  50, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.1767e-01,   2,  9.8695e-08, -4.6536e-05,  2.0145e-04,  2.1746e-01
FL, KMLB, 100, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.3475e-01,   2,  1.1497e-07, -4.5905e-05,  1.7081e-04,  2.3459e-01
FL, KMLB, 500, 0.998,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  2.7440e-01,   1,  1.2959e-07, -4.3850e-05,  1.0156e-04,  2.7434e-01
FL, KOPF,   1, 0.994,   0, -1.3687e-06,  3.5327e-05, -1.2679e-03,  1.3248e-01,    ,            ,            ,            ,            
FL, KOPF,   5, 0.995,   0, -9.6858e-07,  3.8021e-05, -1.7165e-03,  1.7507e-01,    ,            ,            ,            ,            
FL, KOPF,  10, 0.995,   0, -8.9083e-07,  4.1243e-05, -1.8962e-03,  1.9320e-01,    ,            ,            ,            ,            
FL, KOPF,  25, 0.995,   0, -8.2517e-07,  4.6215e-05, -2.1230e-03,  2.1704e-01,    ,            ,            ,            ,            
FL, KOPF,  50, 0.995,   0, -7.9325e-07,  5.0335e-05, -2.2890e-03,  2.3501e-01,    ,            ,            ,            ,            
FL, KOPF, 100, 0.995,   0, -7.7168e-07,  5.4707e-05, -2.4526e-03,  2.5295e-01,    ,            ,            ,            ,            
FL, KOPF, 500, 0.995,   0, -7.4825e-07,  6.5768e-05, -2.8336e-03,  2.9454e-01,    ,            ,            ,            ,            
FL, KORL,   1, 0.994,   0, -8.4435e-07, -8.9857e-07, -8.1617e-04,  1.4820e-01,    ,            ,            ,            ,            
FL, KORL,   5, 0.994,   0, -3.6755e-07, -8.5669e-06, -1.1738e-03,  1.9869e-01,    ,            ,            ,            ,            
FL, KORL,  10, 0.995,   0, -2.8464e-07, -8.1024e-06, -1.3449e-03,  2.2033e-01,    ,            ,            ,            ,            
FL, KORL,  25, 0.995,   0, -2.1528e-07, -6.7238e-06, -1.5603e-03,  2.4881e-01,    ,            ,            ,            ,            
FL, KORL,  50, 0.995,   0, -1.8287e-07, -5.2209e-06, -1.7195e-03,  2.7030e-01,    ,            ,            ,            ,            
FL, KORL, 100, 0.995,   0, -1.5825e-07, -3.8212e-06, -1.8681e-03,  2.9173e-01,    ,            ,            ,            ,            
FL, KORL, 500, 0.995,   0, -1.1633e-07, -1.3842e-06, -2.1716e-03,  3.4124e-01,    ,            ,            ,            ,            
FL, KPBI,   1, 0.989,   0, -1.2923e-06,  2.5311e-05, -1.6014e-03,  1.3738e-01,    ,            ,            ,            ,            
FL, KPBI,   5, 0.992,   0, -9.0869e-07,  3.5940e-05, -2.4015e-03,  1.8233e-01,    ,            ,            ,            ,            
FL, KPBI,  10, 0.993,   0, -8.0178e-07,  3.7786e-05, -2.6262e-03,  2.0113e-01,    ,            ,            ,            ,            
FL, KPBI,  25, 0.994,   0, -6.9475e-07,  3.9496e-05, -2.8710e-03,  2.2571e-01,    ,            ,            ,            ,            
FL, KPBI,  50, 0.995,   0, -6.3230e-07,  4.0520e-05, -3.0305e-03,  2.4415e-01,    ,            ,            ,            ,            
FL, KPBI, 100, 0.995,   0, -5.8129e-07,  4.1416e-05, -3.1746e-03,  2.6249e-01,    ,            ,            ,            ,            
FL, KPBI, 500, 0.996,   0, -4.9270e-07,  4.3190e-05, -3.4686e-03,  3.0483e-01,    ,            ,            ,            ,            
FL, KPGD,   1, 0.992,   0, -7.6858e-07, -2.3642e-06, -5.2846e-04,  1.2706e-01,    ,            ,            ,            ,            
FL, KPGD,   5, 0.994,   0, -3.2199e-07, -1.0712e-05, -7.3751e-04,  1.6970e-01,    ,            ,            ,            ,            
FL, KPGD,  10, 0.994,   0, -2.2448e-07, -1.2721e-05, -7.9857e-04,  1.8778e-01,    ,            ,            ,            ,            
FL, KPGD,  25, 0.994,   0, -1.3298e-07, -1.4984e-05, -8.5743e-04,  2.1150e-01,    ,            ,            ,            ,            
FL, KPGD,  50, 0.994,   0, -8.1937e-08, -1.6540e-05, -8.8937e-04,  2.2936e-01,    ,            ,            ,            ,            
FL, KPGD, 100, 0.994,   0, -4.1665e-08, -1.7999e-05, -9.1354e-04,  2.4715e-01,    ,            ,            ,            ,            
FL, KPGD, 500, 0.994,   0,  2.3381e-08, -2.0999e-05, -9.5225e-04,  2.8832e-01,    ,            ,            ,            ,            
FL, KPIE,   1, 0.994,   0, -1.0141e-06,  9.6752e-06, -6.7916e-04,  1.2365e-01,    ,            ,            ,            ,            
FL, KPIE,   5, 0.995,   0, -4.8366e-07, -1.4018e-06, -8.7779e-04,  1.6447e-01,    ,            ,            ,            ,            
FL, KPIE,  10, 0.995,   0, -3.7449e-07, -3.1393e-06, -9.5812e-04,  1.8184e-01,    ,            ,            ,            ,            
FL, KPIE,  25, 0.995,   0, -2.7682e-07, -4.4061e-06, -1.0550e-03,  2.0468e-01,    ,            ,            ,            ,            
FL, KPIE,  50, 0.995,   0, -2.2428e-07, -4.9846e-06, -1.1206e-03,  2.2188e-01,    ,            ,            ,            ,            
FL, KPIE, 100, 0.995,   0, -1.8337e-07, -5.4199e-06, -1.1795e-03,  2.3903e-01,    ,            ,            ,            ,            
FL, KPIE, 500, 0.995,   0, -1.1588e-07, -6.2890e-06, -1.2936e-03,  2.7868e-01,    ,            ,            ,            ,            
FL, KPMP,   1, 0.989,   0, -9.0551e-07, -3.1638e-06, -5.5172e-04,  1.2347e-01,    ,            ,            ,            ,            
FL, KPMP,   5, 0.990,   0, -4.8714e-07, -2.8511e-06, -1.0397e-03,  1.6472e-01,    ,            ,            ,            ,            
FL, KPMP,  10, 0.991,   0, -4.1587e-07, -3.4752e-07, -1.2408e-03,  1.8234e-01,    ,            ,            ,            ,            
FL, KPMP,  25, 0.992,   0, -3.5620e-07,  3.1558e-06, -1.4859e-03,  2.0551e-01,    ,            ,            ,            ,            
FL, KPMP,  50, 0.992,   0, -3.2513e-07,  5.6538e-06, -1.6553e-03,  2.2295e-01,    ,            ,            ,            ,            
FL, KPMP, 100, 0.993,   0, -3.0099e-07,  7.9280e-06, -1.8119e-03,  2.4032e-01,    ,            ,            ,            ,            
FL, KPMP, 500, 0.994,   0, -2.5965e-07,  1.2284e-05, -2.1339e-03,  2.8046e-01,    ,            ,            ,            ,            
FL, KPNS,   1, 0.986,   0,  0.0000e+00, -3.5456e-05, -1.5410e-03,  1.5343e-01,    ,            ,            ,            ,            
FL, KPNS,   5, 0.985,   0,  0.0000e+00, -9.8984e-06, -2.8309e-03,  2.0670e-01,    ,            ,            ,            ,            
FL, KPNS,  10, 0.986,   0,  0.0000e+00, -3.5652e-06, -3.2458e-03,  2.2899e-01,    ,            ,            ,            ,            
FL, KPNS,  25, 0.987,   0,  0.0000e+00,  2.4688e-06, -3.7095e-03,  2.5795e-01,    ,            ,            ,            ,            
FL, KPNS,  50, 0.987,   0,  0.0000e+00,  5.7919e-06, -4.0092e-03,  2.7952e-01,    ,            ,            ,            ,            
FL, KPNS, 100, 0.988,   0,  0.0000e+00,  8.3412e-06, -4.2729e-03,  3.0081e-01,    ,            ,            ,            ,            
FL, KPNS, 500, 0.989,   0,  0.0000e+00,  1.2200e-05, -4.7735e-03,  3.4927e-01,    ,            ,            ,            ,            
FL, KRSW,   1, 0.993,   0, -1.2981e-06,  3.8154e-05, -1.4650e-03,  1.3454e-01,    ,            ,            ,            ,            
FL, KRSW,   5, 0.995,   0, -7.8479e-07,  3.2156e-05, -1.8196e-03,  1.7989e-01,    ,            ,            ,            ,            
FL, KRSW,  10, 0.995,   0, -6.7807e-07,  3.2100e-05, -1.9592e-03,  1.9919e-01,    ,            ,            ,            ,            
FL, KRSW,  25, 0.996,   0, -5.7718e-07,  3.2428e-05, -2.1216e-03,  2.2453e-01,    ,            ,            ,            ,            
FL, KRSW,  50, 0.996,   0, -5.1824e-07,  3.2606e-05, -2.2267e-03,  2.4358e-01,    ,            ,            ,            ,            
FL, KRSW, 100, 0.996,   0, -4.7047e-07,  3.2808e-05, -2.3217e-03,  2.6256e-01,    ,            ,            ,            ,            
FL, KRSW, 500, 0.996,   0, -3.8909e-07,  3.3401e-05, -2.5165e-03,  3.0644e-01,    ,            ,            ,            ,            
FL, KSFB,   1, 0.989,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.2079e-01,   2, -6.0648e-07, -1.5557e-05,  5.9363e-05,  1.2074e-01
FL, KSFB,   5, 0.991,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.6144e-01,   1, -1.5422e-07, -2.8585e-05,  4.5544e-05,  1.6142e-01
FL, KSFB,  10, 0.992,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.7890e-01,   0, -7.8774e-08, -2.9945e-05,  9.1597e-06,  1.7890e-01
FL, KSFB,  25, 0.993,   0, -2.1118e-08, -3.0283e-05, -4.7030e-05,  2.0198e-01,    ,            ,            ,            ,            
FL, KSFB,  50, 0.993,   0,  4.6558e-09, -2.9981e-05, -9.0719e-05,  2.1942e-01,    ,            ,            ,            ,            
FL, KSFB, 100, 0.993,   0,  2.1519e-08, -2.9448e-05, -1.3324e-04,  2.3684e-01,    ,            ,            ,            ,            
FL, KSFB, 500, 0.994,   0,  4.2022e-08, -2.7896e-05, -2.2343e-04,  2.7722e-01,    ,            ,            ,            ,            
FL, KSPG,   1, 0.996,   0, -6.8490e-07, -6.4541e-06, -5.0342e-04,  1.1637e-01,    ,            ,            ,            ,            
FL, KSPG,   5, 0.997,   0, -3.5522e-07, -7.7186e-06, -7.9067e-04,  1.5456e-01,    ,            ,            ,            ,            
FL, KSPG,  10, 0.997,   0, -2.9184e-07, -6.8394e-06, -8.9523e-04,  1.7079e-01,    ,            ,            ,            ,            
FL, KSPG,  25, 0.997,   0, -2.3601e-07, -5.4893e-06, -1.0143e-03,  1.9211e-01,    ,            ,            ,            ,            
FL, KSPG,  50, 0.997,   0, -2.0609e-07, -4.5043e-06, -1.0915e-03,  2.0815e-01,    ,            ,            ,            ,            
FL, KSPG, 100, 0.997,   0, -1.8270e-07, -3.6114e-06, -1.1590e-03,  2.2413e-01,    ,            ,            ,            ,            
FL, KSPG, 500, 0.998,   0, -1.4346e-07, -1.9625e-06, -1.2853e-03,  2.6103e-01,    ,            ,            ,            ,            
FL, KTLH,   1, 0.989,   0,  1.1219e-07, -6.1727e-05, -7.4301e-04,  1.4320e-01,    ,            ,            ,            ,            
FL, KTLH,   5, 0.986,   0, -1.6428e-07, -1.0242e-05, -2.4340e-03,  1.9536e-01,    ,            ,            ,            ,            
FL, KTLH,  10, 0.986,   0, -2.2495e-07,  3.7988e-06, -3.0032e-03,  2.1737e-01,    ,            ,            ,            ,            
FL, KTLH,  25, 0.987,   0, -2.6063e-07,  1.6598e-05, -3.6283e-03,  2.4601e-01,    ,            ,            ,            ,            
FL, KTLH,  50, 0.988,   0, -2.6830e-07,  2.3347e-05, -4.0306e-03,  2.6741e-01,    ,            ,            ,            ,            
FL, KTLH, 100, 0.988,   0, -2.6724e-07,  2.8436e-05, -4.3898e-03,  2.8864e-01,    ,            ,            ,            ,            
FL, KTLH, 500, 0.990,   0, -2.5081e-07,  3.6377e-05, -5.1137e-03,  3.3744e-01,    ,            ,            ,            ,            
FL, KTMB,   1, 0.993,   0, -1.6493e-06,  3.6057e-05, -1.2928e-03,  1.3818e-01,    ,            ,            ,            ,            
FL, KTMB,   5, 0.994,   0, -9.7165e-07,  2.7185e-05, -1.6615e-03,  1.8375e-01,    ,            ,            ,            ,            
FL, KTMB,  10, 0.995,   0, -8.1832e-07,  2.5769e-05, -1.7896e-03,  2.0308e-01,    ,            ,            ,            ,            
FL, KTMB,  25, 0.995,   0, -6.6980e-07,  2.4398e-05, -1.9312e-03,  2.2843e-01,    ,            ,            ,            ,            
FL, KTMB,  50, 0.995,   0, -5.8205e-07,  2.3339e-05, -2.0175e-03,  2.4747e-01,    ,            ,            ,            ,            
FL, KTMB, 100, 0.995,   0, -5.0756e-07,  2.2076e-05, -2.0866e-03,  2.6641e-01,    ,            ,            ,            ,            
FL, KTMB, 500, 0.994,   0, -3.6529e-07,  1.7950e-05, -2.1841e-03,  3.1005e-01,    ,            ,            ,            ,            
FL, KTPA,   1, 0.995,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.2811e-01,   2,  8.4624e-07, -1.1771e-04,  4.2227e-04,  1.2773e-01
FL, KTPA,   5, 0.993,   0,  6.8597e-07, -8.5204e-05, -6.3275e-04,  1.7333e-01,    ,            ,            ,            ,            
FL, KTPA,  10, 0.993,   0,  5.7677e-07, -7.1930e-05, -1.0609e-03,  1.9291e-01,    ,            ,            ,            ,            
FL, KTPA,  25, 0.993,   0,  4.5168e-07, -5.6859e-05, -1.5803e-03,  2.1866e-01,    ,            ,            ,            ,            
FL, KTPA,  50, 0.993,   0,  3.7406e-07, -4.7234e-05, -1.9394e-03,  2.3804e-01,    ,            ,            ,            ,            
FL, KTPA, 100, 0.993,   0,  3.0948e-07, -3.8916e-05, -2.2731e-03,  2.5735e-01,    ,            ,            ,            ,            
FL, KTPA, 500, 0.993,   0,  1.9829e-07, -2.3524e-05, -2.9687e-03,  3.0191e-01,    ,            ,            ,            ,            
FL, KVRB,   1, 0.992,   0, -1.1841e-06,  1.3231e-05, -1.2133e-03,  1.2990e-01,    ,            ,            ,            ,            
FL, KVRB,   5, 0.995,   0, -8.1816e-07,  2.2589e-05, -1.8351e-03,  1.7300e-01,    ,            ,            ,            ,            
FL, KVRB,  10, 0.996,   0, -7.2587e-07,  2.4993e-05, -2.0165e-03,  1.9114e-01,    ,            ,            ,            ,            
FL, KVRB,  25, 0.996,   0, -6.3558e-07,  2.7563e-05, -2.2140e-03,  2.1489e-01,    ,            ,            ,            ,            
FL, KVRB,  50, 0.997,   0, -5.8365e-07,  2.9233e-05, -2.3415e-03,  2.3273e-01,    ,            ,            ,            ,            
FL, KVRB, 100, 0.997,   0, -5.4167e-07,  3.0753e-05, -2.4557e-03,  2.5049e-01,    ,            ,            ,            ,            
FL, KVRB, 500, 0.997,   0, -4.7030e-07,  3.3950e-05, -2.6858e-03,  2.9152e-01,    ,            ,            ,            ,            
GA, KABY,   1, 0.986,   0, -1.7186e-06,  5.4724e-05, -1.2581e-03,  1.1786e-01,    ,            ,            ,            ,            
GA, KABY,   5, 0.989,   0, -8.7683e-07,  2.8675e-05, -1.1116e-03,  1.5504e-01,    ,            ,            ,            ,            
GA, KABY,  10, 0.990,   0, -6.6351e-07,  1.9771e-05, -1.0023e-03,  1.7064e-01,    ,            ,            ,            ,            
GA, KABY,  25, 0.991,   0, -4.3435e-07,  7.6216e-06, -8.0239e-04,  1.9093e-01,    ,            ,            ,            ,            
GA, KABY,  50, 0.991,   0, -2.8845e-07, -1.9354e-06, -6.1583e-04,  2.0607e-01,    ,            ,            ,            ,            
GA, KABY, 100, 0.991,   0, -1.7708e-07, -9.9829e-06, -4.4291e-04,  2.2120e-01,    ,            ,            ,            ,            
GA, KABY, 500, 0.991,   0, -4.4648e-08, -1.9734e-05, -1.9414e-04,  2.5680e-01,    ,            ,            ,            ,            
GA, KAGS,   1, 0.994,   0,  2.2988e-07, -5.6588e-05, -3.3516e-04,  1.0748e-01,    ,            ,            ,            ,            
GA, KAGS,   5, 0.995,   0,  1.0368e-07, -2.8377e-05, -1.2712e-03,  1.4581e-01,    ,            ,            ,            ,            
GA, KAGS,  10, 0.995,   0,  9.7199e-08, -2.2985e-05, -1.5335e-03,  1.6190e-01,    ,            ,            ,            ,            
GA, KAGS,  25, 0.995,   0,  9.0825e-08, -1.7776e-05, -1.8281e-03,  1.8297e-01,    ,            ,            ,            ,            
GA, KAGS,  50, 0.995,   0,  8.4597e-08, -1.4573e-05, -2.0284e-03,  1.9883e-01,    ,            ,            ,            ,            
GA, KAGS, 100, 0.995,   0,  7.7150e-08, -1.1741e-05, -2.2165e-03,  2.1464e-01,    ,            ,            ,            ,            
GA, KAGS, 500, 0.995,   0,  5.7827e-08, -6.0891e-06, -2.6238e-03,  2.5126e-01,    ,            ,            ,            ,            
GA, KAHN,   1, 0.980,   0, -6.3679e-07, -3.5544e-05, -6.1984e-04,  1.1102e-01,    ,            ,            ,            ,            
GA, KAHN,   5, 0.988,   0, -9.2544e-07,  2.1631e-05, -2.0612e-03,  1.5136e-01,    ,            ,            ,            ,            
GA, KAHN,  10, 0.990,   0, -8.6133e-07,  2.8653e-05, -2.3646e-03,  1.6783e-01,    ,            ,            ,            ,            
GA, KAHN,  25, 0.992,   0, -7.5810e-07,  3.2865e-05, -2.6436e-03,  1.8916e-01,    ,            ,            ,            ,            
GA, KAHN,  50, 0.993,   0, -6.8278e-07,  3.4118e-05, -2.7994e-03,  2.0507e-01,    ,            ,            ,            ,            
GA, KAHN, 100, 0.993,   0, -6.1401e-07,  3.4474e-05, -2.9248e-03,  2.2085e-01,    ,            ,            ,            ,            
GA, KAHN, 500, 0.994,   0, -4.8067e-07,  3.3495e-05, -3.1425e-03,  2.5714e-01,    ,            ,            ,            ,            
GA, KATL,   1, 0.973,   0, -8.2939e-08, -3.5820e-05, -9.3362e-04,  1.2092e-01,    ,            ,            ,            ,            
GA, KATL,   5, 0.976,   0, -6.6228e-07,  3.7998e-05, -3.0832e-03,  1.6780e-01,    ,            ,            ,            ,            
GA, KATL,  10, 0.979,   0, -6.9161e-07,  5.0810e-05, -3.6529e-03,  1.8694e-01,    ,            ,            ,            ,            
GA, KATL,  25, 0.981,   0, -6.7528e-07,  6.0742e-05, -4.2426e-03,  2.1163e-01,    ,            ,            ,            ,            
GA, KATL,  50, 0.983,   0, -6.4646e-07,  6.5284e-05, -4.6107e-03,  2.3000e-01,    ,            ,            ,            ,            
GA, KATL, 100, 0.985,   0, -6.1296e-07,  6.8320e-05, -4.9349e-03,  2.4817e-01,    ,            ,            ,            ,            
GA, KATL, 500, 0.987,   0, -5.3457e-07,  7.2096e-05, -5.5801e-03,  2.8985e-01,    ,            ,            ,            ,            
GA, KCSG,   1, 0.996,   0, -4.8870e-07, -2.7458e-05, -7.2811e-04,  1.2941e-01,    ,            ,            ,            ,            
GA, KCSG,   5, 0.997,   0, -4.3131e-07, -1.7053e-06, -1.6422e-03,  1.7481e-01,    ,            ,            ,            ,            
GA, KCSG,  10, 0.997,   0, -3.7332e-07,  1.7581e-06, -1.8552e-03,  1.9370e-01,    ,            ,            ,            ,            
GA, KCSG,  25, 0.997,   0, -3.0706e-07,  4.2125e-06, -2.0647e-03,  2.1834e-01,    ,            ,            ,            ,            
GA, KCSG,  50, 0.997,   0, -2.6622e-07,  5.2760e-06, -2.1901e-03,  2.3680e-01,    ,            ,            ,            ,            
GA, KCSG, 100, 0.998,   0, -2.3228e-07,  5.9711e-06, -2.2969e-03,  2.5516e-01,    ,            ,            ,            ,            
GA, KCSG, 500, 0.998,   0, -1.7324e-07,  6.8116e-06, -2.4987e-03,  2.9751e-01,    ,            ,            ,            ,            
GA, KFTY,   1, 0.988,   0, -3.1372e-07, -3.5760e-05, -1.4569e-04,  9.8511e-02,    ,            ,            ,            ,            
GA, KFTY,   5, 0.989,   0, -2.9898e-07, -1.3004e-05, -8.2319e-04,  1.3365e-01,    ,            ,            ,            ,            
GA, KFTY,  10, 0.990,   0, -2.7949e-07, -7.7586e-06, -1.0177e-03,  1.4847e-01,    ,            ,            ,            ,            
GA, KFTY,  25, 0.991,   0, -2.5173e-07, -3.0043e-06, -1.2208e-03,  1.6785e-01,    ,            ,            ,            ,            
GA, KFTY,  50, 0.991,   0, -2.3051e-07, -5.6461e-07, -1.3439e-03,  1.8239e-01,    ,            ,            ,            ,            
GA, KFTY, 100, 0.992,   0, -2.0963e-07,  1.1456e-06, -1.4468e-03,  1.9685e-01,    ,            ,            ,            ,            
GA, KFTY, 500, 0.992,   0, -1.6355e-07,  3.1138e-06, -1.6279e-03,  2.3018e-01,    ,            ,            ,            ,            
GA, KMCN,   1, 0.993,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.1707e-01,   2,  6.1058e-07, -9.6008e-05,  3.2199e-04,  1.1680e-01
GA, KMCN,   5, 0.992,   0,  2.5594e-07, -5.3671e-05, -7.1315e-04,  1.5858e-01,    ,            ,            ,            ,            
GA, KMCN,  10, 0.992,   0,  1.8966e-07, -4.3437e-05, -1.0243e-03,  1.7622e-01,    ,            ,            ,            ,            
GA, KMCN,  25, 0.992,   0,  1.3643e-07, -3.3868e-05, -1.3551e-03,  1.9928e-01,    ,            ,            ,            ,            
GA, KMCN,  50, 0.992,   0,  1.1110e-07, -2.8586e-05, -1.5623e-03,  2.1657e-01,    ,            ,            ,            ,            
GA, KMCN, 100, 0.992,   0,  9.3377e-08, -2.4436e-05, -1.7431e-03,  2.3376e-01,    ,            ,            ,            ,            
GA, KMCN, 500, 0.992,   0,  6.8456e-08, -1.7594e-05, -2.0939e-03,  2.7341e-01,    ,            ,            ,            ,            
